FIPS,FID,DivisionName,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12
FF0,0,Montgomery,736,774,701,759,800,696,744,682,796,689,753,752
FF1,1,Russell ,271,273,282,308,274,261,300,255,291,304,267,270
FF2,2,Henry,527,521,586,564,558,543,552,536,615,585,504,528
FF3,3,King and Queen,50,215,47,54,67,46,53,52,45,47,36,30
FF4,4,Floyd,133,148,129,135,165,143,158,174,159,158,160,189
FF5,5,MiddlesexRappahannock,87,76,102,84,94,96,111,92,116,89,88,102
FF6,6,Rappahannock County Public Schools,67,60,54,65,62,68,54,72,67,66,73,81
FF7,7,Amherst County Public Schools,266,298,290,333,334,329,307,277,299,299,274,311
FF8,8,Covington City Public Schools,82,77,71,92,77,67,67,66,77,73,84,65
FF9,9,Essex County Public Schools,91,110,107,103,98,101,111,104,116,108,98,123
FF10,10,Buchanan County Public Schools,192,199,204,207,187,224,206,225,237,225,223,214
FF11,11,Alleghany County Public Schools,128,132,153,134,145,163,187,162,180,174,180,195
FF12,12,Northumberland County Public Schools,90,78,89,93,87,86,101,98,115,100,122,94
FF13,13,Craig County Public Schools,32,40,39,45,55,37,39,45,52,60,55,65
FF14,14,Buckingham County Public Schools,155,159,170,172,176,148,148,133,160,156,128,121
FF15,15,Gloucester County Public Schools,362,369,414,410,400,367,387,474,450,467,379,466
FF16,16,Powhatan County Public Schools,315,295,291,317,312,337,337,335,380,350,364,346
FF17,17,Greene County Public Schools,199,224,249,245,244,243,253,248,253,235,235,219
FF18,18,Patrick County Public Schools,368,176,150,181,170,186,181,174,200,156,189,182
FF19,19,King William County Public Schools,141,166,140,189,176,158,193,165,201,192,161,152
FF20,20,Lunenburg County Public Schools,111,96,127,117,107,138,130,114,129,92,103,84
FF21,21,Charlotte County Public Schools,154,129,143,140,120,145,152,155,140,124,119,148
FF22,22,Henrico County Public Schools,"3,689","3,721","3,805","3,913","3,940","4,099","3,924","3,956","4,232","3,929","3,837","3,836"
FF23,23,Franklin County Public Schools,503,533,586,557,550,544,533,534,564,539,537,480
FF24,24,Grayson County Public Schools,125,113,103,114,130,119,120,95,132,129,120,121
FF25,25,Pittsylvania County Public Schools,625,570,659,697,649,716,685,705,776,754,629,684
FF26,26,Carroll County Public Schools,247,266,292,285,286,284,315,274,294,290,264,274
FF27,27,Cumberland County Public Schools,82,88,92,93,108,102,102,83,108,111,104,95
FF28,28,Augusta County Public Schools,684,705,746,739,839,795,811,817,869,792,781,776
FF29,29,Hopewell City Public Schools,332,334,305,347,339,322,283,302,318,307,246,253
FF30,30,Shenandoah County Public Schools,419,419,428,484,476,437,427,468,521,492,454,445
FF31,31,Accomack County Public Schools,400,371,395,432,370,385,404,382,419,399,397,333
FF32,32,Dinwiddie County Public Schools,313,323,338,333,330,349,302,353,351,343,291,315
FF33,33,Amelia County Public Schools,118,153,137,143,136,132,125,127,147,140,127,133
FF34,34,Botetourt County Public Schools,296,302,331,304,333,364,366,380,406,431,384,379
FF35,35,Westmoreland County Public Schools,112,114,107,126,141,120,101,129,124,113,114,105
FF36,36,Nelson County Public Schools,115,118,133,132,149,141,134,158,171,153,153,159
FF37,37,Nottoway County Public Schools,157,138,162,139,172,157,149,155,181,153,135,123
FF38,38,Martinsville City Public Schools,139,144,160,147,162,158,137,132,166,129,136,149
FF39,39,Appomattox County Public Schools,156,164,176,178,176,156,150,177,174,159,186,181
FF40,40,Fluvanna County Public Schools,235,218,252,280,271,292,298,322,311,289,256,266
FF41,41,Mathews County Public Schools,67,71,74,80,86,66,84,82,85,114,95,101
FF42,42,King George County Public Schools,336,291,336,373,369,350,349,384,345,337,296,322
FF43,43,Prince Edward County Public Schools,147,147,146,163,138,147,154,154,185,166,138,141
FF44,44,Galax City Public Schools,98,99,121,95,99,79,89,93,77,105,98,84
FF45,45,Bland County Public Schools,45,45,46,52,58,46,69,58,73,52,69,62
FF46,46,York County Public Schools,950,884,909,998,950,972,"1,005",996,"1,061","1,039",977,"1,025"
FF47,47,Culpeper County Public Schools,563,609,610,650,667,666,570,633,635,642,589,628
FF48,48,Northampton County Public Schools,155,123,114,118,113,130,117,137,126,124,95,113
FF49,49,Spotsylvania County Public Schools,"1,651","1,646","1,642","1,850","1,827","1,785","1,883","1,863","2,032","1,907","1,834","1,861"
