Country or Area,Year,Rate,2001,2002,2003,2004,2005,2006,2007,2008,2009,latitude,longitude
Argentina,2009,3.4,8.2,9.2,7.6,5.9,5.5,5.3,5.3,5.8,3.4,-34.603722,-58.381592
Australia,2009,1.2,1.6,1.6,1.5,1.3,1.3,1.4,1.2,1.2,1.2,-35.343784,149.082977
Belgium,2009,1.7,2.8,3.1,2.2,2.6,2.1,2.1,2,1.9,1.7,50.8503396,4.3517103
China,2009,1,2,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1, 39.913818,116.363625
Croatia,2009,1.1,1.8,1.5,1.9,1.5,1.7,1.4,1.6,1.1,1.4,45.815399,15.966568
Denmark,2009,0.9,1,1,1.2,0.8,1,0.5,0.7,1,0.9, 55.676098,12.568337
France,2009,1.1,1.8,1.9,1.6,1.6,1.6,1.4,1.3,1.4,1.1,48.864716,2.349014
Italy,2009,1,1.2,1.1,1.2,1.2,1,1.1,1.1,1,1,41.890251,12.492373
Japan,2009,0.4,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.4,35.652832,139.839478
Mexico,2009,17.7,10.2,9.8,9.7,8.9,9.3,9.7,8.1,12.7,17.7,19.432608, -99.133209
Pakistan,2009,7.3,6.5,6.2,6.1,6.2,6.1,6.2,6.4,7.2,7.3,33.738045,73.084488
South Africa,2009,33.8,47.2,46.8,42.5,39.8,38.8,39.7,37.9,36.8,33.8,-33.918861,18.4233
Spain,2009,0.9,1.4,1.4,1.4,1.2,1.2,1.1,1.1,0.9,0.9,40.416775, -3.703790
Switzerland,2009,0.7,1.2,1.2,1,1.1,1,0.8,0.7,0.7,0.7,46.204391,6.143158
United Kingdom of Great Britain and Northern Ireland,2009,1.2,1.8,2.1,1.8,1.7,1.5,1.5,1.5,1.3,1.2,51.50853, -0.076132
United States of America,2009,4.4,4.9,4.9,5,4.8,5,5,4.9,4.6,4.4,40.73061, -73.935242
